Gene.name.mouse,Gene.stable.ID.mouse,Gene.description.mouse,Chromosome.scaffold.name.mouse,Gene.start..bp.mouse,Gene.end..bp.mouse,Strand.mouse,homology.type,orthology.confidence..0.low..1.high.,Gene.name.human,Gene.stable.ID.human,Gene.description.human,Chromosome.scaffold.name.human,Gene.start..bp.human,Gene.end..bp.human,Strand.1.human
Gpc1,ENSMUSG00000034220,glypican 1 [Source:MGI Symbol;Acc:MGI:1194891],1,92759367,92788501,1,ortholog_one2one,1,GPC1,ENSG00000063660,glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449],2,240435663,240468076,1
Cul9,ENSMUSG00000040327,cullin 9 [Source:MGI Symbol;Acc:MGI:1925559],17,46811498,46857314,-1,ortholog_one2one,1,CUL9,ENSG00000112659,cullin 9 [Source:HGNC Symbol;Acc:HGNC:15982],6,43182184,43224587,1
Tas2r139,ENSMUSG00000047102,"taste receptor, type 2, member 139 [Source:MGI Symbol;Acc:MGI:2681308]",6,42117870,42118829,1,ortholog_one2one,1,TAS2R39,ENSG00000236398,taste 2 receptor member 39 [Source:HGNC Symbol;Acc:HGNC:18886],7,143183419,143184435,1
Tmprss12,ENSMUSG00000045631,"transmembrane (C-terminal) protease, serine 12 [Source:MGI Symbol;Acc:MGI:1922252]",15,100178718,100190947,1,ortholog_one2one,1,TMPRSS12,ENSG00000186452,transmembrane serine protease 12 [Source:HGNC Symbol;Acc:HGNC:28779],12,50842920,50887884,1
Gpr4,ENSMUSG00000044317,G protein-coupled receptor 4 [Source:MGI Symbol;Acc:MGI:2441992],7,18946463,18958099,1,ortholog_one2one,1,GPR4,ENSG00000177464,G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:4497],19,45589764,45602212,-1
Prx,ENSMUSG00000053198,periaxin [Source:MGI Symbol;Acc:MGI:108176],7,27196813,27219639,1,ortholog_one2one,1,PRX,ENSG00000105227,periaxin [Source:HGNC Symbol;Acc:HGNC:13797],19,40393766,40414793,-1
Crot,ENSMUSG00000003623,carnitine O-octanoyltransferase [Source:MGI Symbol;Acc:MGI:1921364],5,9016033,9047324,-1,ortholog_one2one,1,CROT,ENSG00000005469,carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366],7,87345664,87399794,1
Hsd17b13,ENSMUSG00000034528,hydroxysteroid (17-beta) dehydrogenase 13 [Source:MGI Symbol;Acc:MGI:2140804],5,104103306,104125276,-1,ortholog_one2one,1,HSD17B13,ENSG00000170509,hydroxysteroid 17-beta dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:18685],4,87303789,87322886,-1
Ptgr1,ENSMUSG00000028378,prostaglandin reductase 1 [Source:MGI Symbol;Acc:MGI:1914353],4,58965439,58987119,-1,ortholog_one2one,1,PTGR1,ENSG00000106853,prostaglandin reductase 1 [Source:HGNC Symbol;Acc:HGNC:18429],9,111549722,111599893,-1
Ppef2,ENSMUSG00000029410,"protein phosphatase, EF hand calcium-binding domain 2 [Source:MGI Symbol;Acc:MGI:1342304]",5,92374538,92404137,-1,ortholog_one2one,1,PPEF2,ENSG00000156194,protein phosphatase with EF-hand domain 2 [Source:HGNC Symbol;Acc:HGNC:9244],4,75859864,75902571,-1
Bnc2,ENSMUSG00000028487,basonuclin 2 [Source:MGI Symbol;Acc:MGI:2443805],4,84193332,84593512,-1,ortholog_one2one,1,BNC2,ENSG00000173068,basonuclin 2 [Source:HGNC Symbol;Acc:HGNC:30988],9,16409503,16870843,-1
Cdhr3,ENSMUSG00000035860,cadherin-related family member 3 [Source:MGI Symbol;Acc:MGI:1916014],12,33083795,33142874,-1,ortholog_one2one,1,CDHR3,ENSG00000128536,cadherin related family member 3 [Source:HGNC Symbol;Acc:HGNC:26308],7,105876796,106036432,1
Mir204,ENSMUSG00000065507,microRNA 204 [Source:MGI Symbol;Acc:MGI:2676879],19,22727969,22728036,1,ortholog_one2one,1,MIR204,ENSG00000207935,microRNA 204 [Source:HGNC Symbol;Acc:HGNC:31582],9,70809975,70810084,-1
Ddhd2,ENSMUSG00000061313,DDHD domain containing 2 [Source:MGI Symbol;Acc:MGI:1919358],8,26215373,26244624,-1,ortholog_one2one,1,DDHD2,ENSG00000085788,DDHD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29106],8,38225218,38275558,1
Shd,ENSMUSG00000039154,src homology 2 domain-containing transforming protein D [Source:MGI Symbol;Acc:MGI:1099461],17,56277467,56283625,1,ortholog_one2one,1,SHD,ENSG00000105251,Src homology 2 domain containing transforming protein D [Source:HGNC Symbol;Acc:HGNC:30633],19,4279266,4290722,1
Gm26130,ENSMUSG00000065105,"predicted gene, 26130 [Source:MGI Symbol;Acc:MGI:5455907]",17,13138472,13138609,1,ortholog_one2one,1,SNORA29,ENSG00000206910,"small nucleolar RNA, H/ACA box 29 [Source:HGNC Symbol;Acc:HGNC:32619]",6,159785594,159785733,-1
Btk,ENSMUSG00000031264,Bruton agammaglobulinemia tyrosine kinase [Source:MGI Symbol;Acc:MGI:88216],X,133443085,133484319,-1,ortholog_one2one,1,BTK,ENSG00000010671,Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1133],X,101349447,101390796,-1
Dock6,ENSMUSG00000032198,dedicator of cytokinesis 6 [Source:MGI Symbol;Acc:MGI:1914789],9,21711156,21763931,-1,ortholog_one2one,1,DOCK6,ENSG00000130158,dedicator of cytokinesis 6 [Source:HGNC Symbol;Acc:HGNC:19189],19,11199295,11262524,-1
Mars1,ENSMUSG00000040354,methionine-tRNA synthetase 1 [Source:MGI Symbol;Acc:MGI:1345633],10,127132090,127147655,-1,ortholog_one2one,1,MARS1,ENSG00000166986,methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898],12,57475445,57517569,1
Lnp1,ENSMUSG00000109588,leukemia NUP98 fusion partner 1 [Source:MGI Symbol;Acc:MGI:5011982],16,56734707,56748424,-1,ortholog_one2one,1,LNP1,ENSG00000206535,leukemia NUP98 fusion partner 1 [Source:HGNC Symbol;Acc:HGNC:28014],3,100401532,100456319,1
Rasl11b,ENSMUSG00000049907,"RAS-like, family 11, member B [Source:MGI Symbol;Acc:MGI:1916189]",5,74355947,74360142,1,ortholog_one2one,1,RASL11B,ENSG00000128045,RAS like family 11 member B [Source:HGNC Symbol;Acc:HGNC:23804],4,52862317,52866835,1
Ercc3,ENSMUSG00000024382,"excision repair cross-complementing rodent repair deficiency, complementation group 3 [Source:MGI Symbol;Acc:MGI:95414]",18,32373353,32403204,1,ortholog_one2one,1,ERCC3,ENSG00000163161,"ERCC excision repair 3, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3435]",2,127257290,127294166,-1
Kcnd2,ENSMUSG00000060882,"potassium voltage-gated channel, Shal-related family, member 2 [Source:MGI Symbol;Acc:MGI:102663]",6,21215502,21729804,1,ortholog_one2one,1,KCND2,ENSG00000184408,potassium voltage-gated channel subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:6238],7,120273175,120750337,1
Atl1,ENSMUSG00000021066,atlastin GTPase 1 [Source:MGI Symbol;Acc:MGI:1921241],12,69939388,70013191,1,ortholog_one2one,1,ATL1,ENSG00000198513,atlastin GTPase 1 [Source:HGNC Symbol;Acc:HGNC:11231],14,50532509,50634017,1
Efcab7,ENSMUSG00000073791,EF-hand calcium binding domain 7 [Source:MGI Symbol;Acc:MGI:2385199],4,99717435,99769985,1,ortholog_one2one,1,EFCAB7,ENSG00000203965,EF-hand calcium binding domain 7 [Source:HGNC Symbol;Acc:HGNC:29379],1,63523372,63572693,1
Sycn,ENSMUSG00000084174,syncollin [Source:MGI Symbol;Acc:MGI:1915666],7,28240310,28241634,1,ortholog_one2one,1,SYCN,ENSG00000179751,syncollin [Source:HGNC Symbol;Acc:HGNC:18442],19,39202825,39204263,-1
Mid1,ENSMUSG00000035299,midline 1 [Source:MGI Symbol;Acc:MGI:1100537],X,168468195,168788732,1,ortholog_one2one,1,MID1,ENSG00000101871,midline 1 [Source:HGNC Symbol;Acc:HGNC:7095],X,10445310,10833654,-1
Stam,ENSMUSG00000026718,signal transducing adaptor molecule (SH3 domain and ITAM motif) 1 [Source:MGI Symbol;Acc:MGI:1329014],2,14078909,14154445,1,ortholog_one2one,1,STAM,ENSG00000136738,signal transducing adaptor molecule [Source:HGNC Symbol;Acc:HGNC:11357],10,17644151,17716824,1
Herc4,ENSMUSG00000020064,hect domain and RLD 4 [Source:MGI Symbol;Acc:MGI:1914595],10,63079589,63153657,1,ortholog_one2one,1,HERC4,ENSG00000148634,HECT and RLD domain containing E3 ubiquitin protein ligase 4 [Source:HGNC Symbol;Acc:HGNC:24521],10,67921899,68075301,-1
Clic3,ENSMUSG00000015093,chloride intracellular channel 3 [Source:MGI Symbol;Acc:MGI:1916704],2,25346850,25348788,1,ortholog_one2one,1,CLIC3,ENSG00000169583,chloride intracellular channel 3 [Source:HGNC Symbol;Acc:HGNC:2064],9,136994608,136996568,-1
Nefl,ENSMUSG00000022055,"neurofilament, light polypeptide [Source:MGI Symbol;Acc:MGI:97313]",14,68321312,68326544,1,ortholog_one2one,1,NEFL,ENSG00000277586,neurofilament light chain [Source:HGNC Symbol;Acc:HGNC:7739],8,24950955,24956721,-1
Vcl,ENSMUSG00000021823,vinculin [Source:MGI Symbol;Acc:MGI:98927],14,20979466,21083744,1,ortholog_one2one,1,VCL,ENSG00000035403,vinculin [Source:HGNC Symbol;Acc:HGNC:12665],10,73995193,74121363,1
Trim32,ENSMUSG00000051675,tripartite motif-containing 32 [Source:MGI Symbol;Acc:MGI:1917057],4,65523223,65534475,1,ortholog_one2one,1,TRIM32,ENSG00000119401,tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380],9,116687305,116701300,1
Nfkbia,ENSMUSG00000021025,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha [Source:MGI Symbol;Acc:MGI:104741]",12,55536195,55539432,-1,ortholog_one2one,1,NFKBIA,ENSG00000100906,NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797],14,35401513,35404749,-1
Gen1,ENSMUSG00000051235,"GEN1, Holliday junction 5' flap endonuclease [Source:MGI Symbol;Acc:MGI:2443149]",12,11288921,11315802,-1,ortholog_one2one,1,GEN1,ENSG00000178295,GEN1 Holliday junction 5' flap endonuclease [Source:HGNC Symbol;Acc:HGNC:26881],2,17753858,17788946,1
Wnt10b,ENSMUSG00000022996,"wingless-type MMTV integration site family, member 10B [Source:MGI Symbol;Acc:MGI:108061]",15,98668593,98676031,-1,ortholog_one2one,1,WNT10B,ENSG00000169884,Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775],12,48965340,48971735,-1
Dagla,ENSMUSG00000035735,"diacylglycerol lipase, alpha [Source:MGI Symbol;Acc:MGI:2677061]",19,10222629,10282241,-1,ortholog_one2one,1,DAGLA,ENSG00000134780,diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165],11,61680391,61747001,1
Olfr685,ENSMUSG00000047794,olfactory receptor 685 [Source:MGI Symbol;Acc:MGI:3030519],7,104827623,104835219,-1,ortholog_one2one,1,OR52L1,ENSG00000183313,olfactory receptor family 52 subfamily L member 1 [Source:HGNC Symbol;Acc:HGNC:14785],11,5985892,5986985,-1
Akap12,ENSMUSG00000038587,A kinase (PRKA) anchor protein (gravin) 12 [Source:MGI Symbol;Acc:MGI:1932576],10,4216380,4309470,1,ortholog_one2one,1,AKAP12,ENSG00000131016,A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370],6,151239967,151358559,1
Kcng3,ENSMUSG00000045053,"potassium voltage-gated channel, subfamily G, member 3 [Source:MGI Symbol;Acc:MGI:2663923]",17,83893386,83939324,-1,ortholog_one2one,1,KCNG3,ENSG00000171126,potassium voltage-gated channel modifier subfamily G member 3 [Source:HGNC Symbol;Acc:HGNC:18306],2,42442017,42493982,-1
Rab2b,ENSMUSG00000022159,"RAB2B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1923588]",14,52499216,52517002,-1,ortholog_one2one,1,RAB2B,ENSG00000129472,"RAB2B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:20246]",14,21459020,21476960,-1
Batf,ENSMUSG00000034266,"basic leucine zipper transcription factor, ATF-like [Source:MGI Symbol;Acc:MGI:1859147]",12,85733443,85755861,1,ortholog_one2one,1,BATF,ENSG00000156127,basic leucine zipper ATF-like transcription factor [Source:HGNC Symbol;Acc:HGNC:958],14,75522455,75546993,1
Casp3,ENSMUSG00000031628,caspase 3 [Source:MGI Symbol;Acc:MGI:107739],8,47070326,47092724,1,ortholog_one2one,1,CASP3,ENSG00000164305,caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504],4,184627696,184649509,-1
Tox,ENSMUSG00000041272,thymocyte selection-associated high mobility group box [Source:MGI Symbol;Acc:MGI:2181659],4,6686353,6991557,-1,ortholog_one2one,1,TOX,ENSG00000198846,thymocyte selection associated high mobility group box [Source:HGNC Symbol;Acc:HGNC:18988],8,58805412,59119147,-1
Met,ENSMUSG00000009376,met proto-oncogene [Source:MGI Symbol;Acc:MGI:96969],6,17463799,17573979,1,ortholog_one2one,1,MET,ENSG00000105976,"MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]",7,116672196,116798377,1
Gm25855,ENSMUSG00000064721,"predicted gene, 25855 [Source:MGI Symbol;Acc:MGI:5455632]",19,8701357,8701428,1,ortholog_one2one,1,SNORD25,ENSG00000275043,"small nucleolar RNA, C/D box 25 [Source:HGNC Symbol;Acc:HGNC:10147]",11,62855564,62855632,-1
Galnt14,ENSMUSG00000024064,polypeptide N-acetylgalactosaminyltransferase 14 [Source:MGI Symbol;Acc:MGI:1918935],17,73800223,74017448,-1,ortholog_one2one,1,GALNT14,ENSG00000158089,polypeptide N-acetylgalactosaminyltransferase 14 [Source:HGNC Symbol;Acc:HGNC:22946],2,30910467,31155202,-1
6430571L13Rik,ENSMUSG00000037977,RIKEN cDNA 6430571L13 gene [Source:MGI Symbol;Acc:MGI:2445137],9,107217801,107229621,1,ortholog_one2one,1,C3orf18,ENSG00000088543,chromosome 3 open reading frame 18 [Source:HGNC Symbol;Acc:HGNC:24837],3,50558025,50571027,-1
Nudt22,ENSMUSG00000037349,nudix (nucleoside diphosphate linked moiety X)-type motif 22 [Source:MGI Symbol;Acc:MGI:1915573],19,6970386,6973485,-1,ortholog_one2one,1,NUDT22,ENSG00000149761,nudix hydrolase 22 [Source:HGNC Symbol;Acc:HGNC:28189],11,64225941,64230686,1
Ccdc65,ENSMUSG00000003354,coiled-coil domain containing 65 [Source:MGI Symbol;Acc:MGI:2146001],15,98606088,98621217,1,ortholog_one2one,1,CCDC65,ENSG00000139537,coiled-coil domain containing 65 [Source:HGNC Symbol;Acc:HGNC:29937],12,48904110,48931840,1
Gm25744,ENSMUSG00000092687,"predicted gene, 25744 [Source:MGI Symbol;Acc:MGI:5455521]",17,35170989,35171051,-1,ortholog_one2one,1,SNORD48,ENSG00000201823,"small nucleolar RNA, C/D box 48 [Source:HGNC Symbol;Acc:HGNC:10188]",6,31835263,31835326,1
Sorl1,ENSMUSG00000049313,"sortilin-related receptor, LDLR class A repeats-containing [Source:MGI Symbol;Acc:MGI:1202296]",9,41876016,42035593,-1,ortholog_one2one,1,SORL1,ENSG00000137642,sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185],11,121452314,121633763,1
Chrnb4,ENSMUSG00000035200,"cholinergic receptor, nicotinic, beta polypeptide 4 [Source:MGI Symbol;Acc:MGI:87892]",9,54935438,54956063,-1,ortholog_one2one,1,CHRNB4,ENSG00000117971,cholinergic receptor nicotinic beta 4 subunit [Source:HGNC Symbol;Acc:HGNC:1964],15,78624111,78727754,-1
Zfp467,ENSMUSG00000068551,zinc finger protein 467 [Source:MGI Symbol;Acc:MGI:1916160],6,48404631,48422759,-1,ortholog_one2one,1,ZNF467,ENSG00000181444,zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154],7,149764182,149773588,-1
Stx1b,ENSMUSG00000030806,syntaxin 1B [Source:MGI Symbol;Acc:MGI:1930705],7,127403072,127423721,-1,ortholog_one2one,1,STX1B,ENSG00000099365,syntaxin 1B [Source:HGNC Symbol;Acc:HGNC:18539],16,30989256,31010638,-1
Sms,ENSMUSG00000071708,spermine synthase [Source:MGI Symbol;Acc:MGI:109490],X,156226851,156275283,-1,ortholog_one2one,1,SMS,ENSG00000102172,spermine synthase [Source:HGNC Symbol;Acc:HGNC:11123],X,21940709,21994837,1
Prph2,ENSMUSG00000023978,peripherin 2 [Source:MGI Symbol;Acc:MGI:102791],17,47221385,47235859,1,ortholog_one2one,1,PRPH2,ENSG00000112619,peripherin 2 [Source:HGNC Symbol;Acc:HGNC:9942],6,42696598,42722597,-1
Cryga,ENSMUSG00000044429,"crystallin, gamma A [Source:MGI Symbol;Acc:MGI:88521]",1,65139548,65142532,-1,ortholog_one2one,1,CRYGA,ENSG00000168582,crystallin gamma A [Source:HGNC Symbol;Acc:HGNC:2408],2,208160740,208163589,-1
Amdhd1,ENSMUSG00000015890,amidohydrolase domain containing 1 [Source:MGI Symbol;Acc:MGI:1919011],10,93359200,93375895,-1,ortholog_one2one,1,AMDHD1,ENSG00000139344,amidohydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28577],12,95943331,95968720,1
Slc25a42,ENSMUSG00000002346,"solute carrier family 25, member 42 [Source:MGI Symbol;Acc:MGI:1920345]",8,70636990,70664955,-1,ortholog_one2one,1,SLC25A42,ENSG00000181035,solute carrier family 25 member 42 [Source:HGNC Symbol;Acc:HGNC:28380],19,19063994,19113030,1
Taf4,ENSMUSG00000039117,TATA-box binding protein associated factor 4 [Source:MGI Symbol;Acc:MGI:2152346],2,179553945,179618439,-1,ortholog_one2one,1,TAF4,ENSG00000130699,TATA-box binding protein associated factor 4 [Source:HGNC Symbol;Acc:HGNC:11537],20,61953469,62065881,-1
Usp28,ENSMUSG00000032267,ubiquitin specific peptidase 28 [Source:MGI Symbol;Acc:MGI:2442293],9,48896675,48953817,1,ortholog_one2one,1,USP28,ENSG00000048028,ubiquitin specific peptidase 28 [Source:HGNC Symbol;Acc:HGNC:12625],11,113797874,113875570,-1
Pde1a,ENSMUSG00000059173,"phosphodiesterase 1A, calmodulin-dependent [Source:MGI Symbol;Acc:MGI:1201792]",2,79664797,79959802,-1,ortholog_one2one,1,PDE1A,ENSG00000115252,phosphodiesterase 1A [Source:HGNC Symbol;Acc:HGNC:8774],2,182140036,182523192,-1
Ptpa,ENSMUSG00000039515,protein phosphatase 2 protein activator [Source:MGI Symbol;Acc:MGI:1346006],2,30306051,30337818,1,ortholog_one2one,1,PTPA,ENSG00000119383,protein phosphatase 2 phosphatase activator [Source:HGNC Symbol;Acc:HGNC:9308],9,129110950,129148946,1
Lgals3,ENSMUSG00000050335,"lectin, galactose binding, soluble 3 [Source:MGI Symbol;Acc:MGI:96778]",14,47605208,47623617,1,ortholog_one2one,1,LGALS3,ENSG00000131981,galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563],14,55124110,55145423,1
Spag4,ENSMUSG00000038180,sperm associated antigen 4 [Source:MGI Symbol;Acc:MGI:2444120],2,155907095,155912537,1,ortholog_one2one,1,SPAG4,ENSG00000061656,sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214],20,35615829,35621094,1
Dscc1,ENSMUSG00000022422,DNA replication and sister chromatid cohesion 1 [Source:MGI Symbol;Acc:MGI:1919357],15,54939495,54953887,-1,ortholog_one2one,1,DSCC1,ENSG00000136982,DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453],8,119833976,119855894,-1
Prkce,ENSMUSG00000045038,"protein kinase C, epsilon [Source:MGI Symbol;Acc:MGI:97599]",17,86475213,86965347,1,ortholog_one2one,1,PRKCE,ENSG00000171132,protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401],2,45651345,46187990,1
Coq7,ENSMUSG00000030652,demethyl-Q 7 [Source:MGI Symbol;Acc:MGI:107207],7,118108882,118132579,-1,ortholog_one2one,1,COQ7,ENSG00000167186,"coenzyme Q7, hydroxylase [Source:HGNC Symbol;Acc:HGNC:2244]",16,19067614,19080095,1
Ina,ENSMUSG00000034336,"internexin neuronal intermediate filament protein, alpha [Source:MGI Symbol;Acc:MGI:96568]",19,47003137,47013766,1,ortholog_one2one,1,INA,ENSG00000148798,internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057],10,103277138,103290346,1
Rabgap1,ENSMUSG00000035437,RAB GTPase activating protein 1 [Source:MGI Symbol;Acc:MGI:2385139],2,37333291,37456466,1,ortholog_one2one,1,RABGAP1,ENSG00000011454,RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155],9,122940833,123104866,1
Bcl3,ENSMUSG00000053175,B cell leukemia/lymphoma 3 [Source:MGI Symbol;Acc:MGI:88140],7,19542387,19556695,-1,ortholog_one2one,1,BCL3,ENSG00000069399,BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998],19,44747705,44760044,1
Mesp2,ENSMUSG00000030543,mesoderm posterior 2 [Source:MGI Symbol;Acc:MGI:1096325],7,79460475,79463187,1,ortholog_one2one,1,MESP2,ENSG00000188095,mesoderm posterior bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:29659],15,89760591,89778754,1
Tedc1,ENSMUSG00000037466,tubulin epsilon and delta complex 1 [Source:MGI Symbol;Acc:MGI:2144738],12,113120041,113129668,1,ortholog_one2one,1,TEDC1,ENSG00000185347,tubulin epsilon and delta complex 1 [Source:HGNC Symbol;Acc:HGNC:20127],14,105489855,105499575,1
Mkrn1,ENSMUSG00000029922,"makorin, ring finger protein, 1 [Source:MGI Symbol;Acc:MGI:1859353]",6,39374738,39397396,-1,ortholog_one2one,1,MKRN1,ENSG00000133606,makorin ring finger protein 1 [Source:HGNC Symbol;Acc:HGNC:7112],7,140453033,140479536,-1
Fgf10,ENSMUSG00000021732,fibroblast growth factor 10 [Source:MGI Symbol;Acc:MGI:1099809],13,118806327,118928651,1,ortholog_one2one,1,FGF10,ENSG00000070193,fibroblast growth factor 10 [Source:HGNC Symbol;Acc:HGNC:3666],5,44300247,44389706,-1
Paqr4,ENSMUSG00000023909,progestin and adipoQ receptor family member IV [Source:MGI Symbol;Acc:MGI:1923748],17,23955160,23959841,-1,ortholog_one2one,1,PAQR4,ENSG00000162073,progestin and adipoQ receptor family member 4 [Source:HGNC Symbol;Acc:HGNC:26386],16,2969270,2973484,1
Cacng4,ENSMUSG00000020723,"calcium channel, voltage-dependent, gamma subunit 4 [Source:MGI Symbol;Acc:MGI:1859167]",11,107623183,107685383,-1,ortholog_one2one,1,CACNG4,ENSG00000075461,calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408],17,66964707,67033398,1
Hk2,ENSMUSG00000000628,hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197],6,82702006,82751435,-1,ortholog_one2one,1,HK2,ENSG00000159399,hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923],2,74834127,74893359,1
Slc26a3,ENSMUSG00000001225,"solute carrier family 26, member 3 [Source:MGI Symbol;Acc:MGI:107181]",12,31440870,31523916,1,ortholog_one2one,1,SLC26A3,ENSG00000091138,solute carrier family 26 member 3 [Source:HGNC Symbol;Acc:HGNC:3018],7,107765467,107803225,-1
Gm24016,ENSMUSG00000088351,"predicted gene, 24016 [Source:MGI Symbol;Acc:MGI:5453793]",4,3835079,3835146,-1,ortholog_one2one,1,SNORD54,ENSG00000238650,"small nucleolar RNA, C/D box 54 [Source:HGNC Symbol;Acc:HGNC:10204]",8,56073835,56073901,-1
Plaat5,ENSMUSG00000024973,phospholipase A and acyltransferase 5 [Source:MGI Symbol;Acc:MGI:1913977],19,7589906,7617007,1,ortholog_one2one,1,PLAAT5,ENSG00000168004,phospholipase A and acyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:24978],11,63461404,63491194,-1
Arhgap9,ENSMUSG00000040345,Rho GTPase activating protein 9 [Source:MGI Symbol;Acc:MGI:2143764],10,127157833,127165812,1,ortholog_one2one,1,ARHGAP9,ENSG00000123329,Rho GTPase activating protein 9 [Source:HGNC Symbol;Acc:HGNC:14130],12,57472264,57488814,-1
Alg5,ENSMUSG00000036632,asparagine-linked glycosylation 5 (dolichyl-phosphate beta-glucosyltransferase) [Source:MGI Symbol;Acc:MGI:1913498],3,54642960,54658739,1,ortholog_one2one,1,ALG5,ENSG00000120697,ALG5 dolichyl-phosphate beta-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:20266],13,36949738,37000763,-1
Lonp2,ENSMUSG00000047866,"lon peptidase 2, peroxisomal [Source:MGI Symbol;Acc:MGI:1914137]",8,87350672,87450501,1,ortholog_one2one,1,LONP2,ENSG00000102910,"lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:HGNC:20598]",16,48244300,48363122,1
Sqle,ENSMUSG00000022351,squalene epoxidase [Source:MGI Symbol;Acc:MGI:109296],15,59186926,59203041,1,ortholog_one2one,1,SQLE,ENSG00000104549,squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279],8,124998497,125022283,1
Nkx2-5,ENSMUSG00000015579,NK2 homeobox 5 [Source:MGI Symbol;Acc:MGI:97350],17,27057638,27063983,-1,ortholog_one2one,1,NKX2-5,ENSG00000183072,NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488],5,173232109,173235311,-1
Adam18,ENSMUSG00000031552,a disintegrin and metallopeptidase domain 18 [Source:MGI Symbol;Acc:MGI:105986],8,25092262,25164771,-1,ortholog_one2one,1,ADAM18,ENSG00000168619,ADAM metallopeptidase domain 18 [Source:HGNC Symbol;Acc:HGNC:196],8,39584489,39730065,1
Ttll10,ENSMUSG00000029074,"tubulin tyrosine ligase-like family, member 10 [Source:MGI Symbol;Acc:MGI:1921855]",4,156119297,156143871,-1,ortholog_one2one,1,TTLL10,ENSG00000162571,tubulin tyrosine ligase like 10 [Source:HGNC Symbol;Acc:HGNC:26693],1,1173880,1197936,1
Cgas,ENSMUSG00000032344,cyclic GMP-AMP synthase [Source:MGI Symbol;Acc:MGI:2442261],9,78337808,78350519,-1,ortholog_one2one,1,CGAS,ENSG00000164430,cyclic GMP-AMP synthase [Source:HGNC Symbol;Acc:HGNC:21367],6,73413515,73452297,-1
Tnfsf14,ENSMUSG00000005824,"tumor necrosis factor (ligand) superfamily, member 14 [Source:MGI Symbol;Acc:MGI:1355317]",17,57496492,57501177,-1,ortholog_one2one,1,TNFSF14,ENSG00000125735,TNF superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11930],19,6661253,6670588,-1
Dbnl,ENSMUSG00000020476,drebrin-like [Source:MGI Symbol;Acc:MGI:700006],11,5738488,5750962,1,ortholog_one2one,1,DBNL,ENSG00000136279,drebrin like [Source:HGNC Symbol;Acc:HGNC:2696],7,44044640,44069456,1
Wnk3,ENSMUSG00000041245,WNK lysine deficient protein kinase 3 [Source:MGI Symbol;Acc:MGI:2652875],X,149981074,150103148,1,ortholog_one2one,1,WNK3,ENSG00000196632,WNK lysine deficient protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:14543],X,54192823,54358642,-1
Olig3,ENSMUSG00000045591,oligodendrocyte transcription factor 3 [Source:MGI Symbol;Acc:MGI:2149955],10,19232281,19234352,1,ortholog_one2one,1,OLIG3,ENSG00000177468,oligodendrocyte transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:18003],6,137492199,137494394,-1
